stem	language
karter	en
sumer	akk
korvett	fr
macesz	yi
samesz	yi
sábesz	yi
flóbert	fr
káder	de
panel	en
fuser	de
poszter	de
majszter	de
rakett	de
modern	de
konszern	de
saller	de
fotel	fr
pollen	la
rubel	ru
projekt	en
luesz	la
páter	la
bukfenc	de
ágens	la
subler	de
sóder	de
gukker	de
docens	la
szlogen	en
brúder	de
codec	en
vátesz	la
bagett	fr
konzerv	en
tandem	en
koncert	de
kampec	yi
szkander	ar
zsakett	fr
szonett	fr
jampec	de
szovjet	ru
skanzen	sv
barchesz	yi
haver	yi
pátens	la
hotel	fr
farmer	en
parkett	fr
okker	nl
barter	en
vamzer	yi
pajesz	yi
suszter	de
stukker	de
makett	fr
mater	la
zsáner	fr
klaszter	en
kupec	de
bankett	fr
bróker	en
lumen	la
flanel	fr
rulett	fr
bakter	de
lornyett	fr
drukker	de
charter	en
fráter	la
azbeszt	en
kartell	de
doppler	de
srapnel	en
kornett	en
ómen	la
malter	de
hardver	en
kábel	de
szoftver	en
partner	en
macher	yi
pamflet	en
komplett	de
prakker	de
púder	fr
burleszk	fr
balett	fr
krokett	fr
zsorzsett	fr
pakett	fr
kódex	la
krapek	de
pasztell	fr
notesz	en
nonszensz	en
koffer	de
mutter	de
klapec	de
sparherd	de
gólem	yi
korrekt	de
bojler	en
gatyesz	hu
bovden	en
modell	en
kadet	fr
sólet	yi
korner	de
lóden	de
raszter	de
muter	yi
kukker	de
láger	de
sláger	de
balek	yi
fater	yi
plakett	fr
puffer	de
brojler	en
kóter	de
maszek	yi
karcer	la
kókler	fr
falzett	it
junker	de
dodzsem	en
kolesz	hu
kráter	la
barrel	en
totem	en
valcer	de
dózer	en
tróger	de
transzfer	en
modem	en
kopek	ru
parszek	ru
duett	it
flaszter	de
roller	de
traverz	fr
token	en
dojen	mo
moped	en
lasztex	en
mágnes	en
omlett	fr
ájer	yi
motel	en
ámen	he
zacsek	yi
matek	en
bunker	en
rocker	en
szubrett	fr
latex	la
dzsungel	en
bagger	de
póker	en
halef	ar
sakter	en
lumpen	de
klozet	fr
