form	lemma	xpostag	freq	corpus_size	lemma_freq	lfpm10	llfpm10	form_length	form_syl_count	lemma_length	lemma_syl_count	hunspell	vowels	suffix	suffix_vowel	suffix_initial
azbeszttől	azbeszt	[/N][Abl]	46	8570080167	9640	-1.2702270527763837	1.051092149444873	10	3	7	2	TRUE	ae	től	front	C
azbesztot	azbeszt	[/N][Acc]	21	8570080167	9640	-1.6107655897240385	1.051092149444873	9	3	7	2	TRUE	ae	ot	back	V
azbesztet	azbeszt	[/N][Acc]	1884	8570080167	9640	0.34209601399890077	1.051092149444873	9	3	7	2	TRUE	ae	et	front	V
azbesztnél	azbeszt	[/N][Ade]	6	8570080167	9640	-2.1548336340743144	1.051092149444873	10	3	7	2	TRUE	ae	nél	front	C
azbeszthoz	azbeszt	[/N][All]	2	8570080167	9640	-2.6319548887939765	1.051092149444873	10	3	7	2	TRUE	ae	hoz	back	C
azbeszthez	azbeszt	[/N][All]	68	8570080167	9640	-1.1004759717517214	1.051092149444873	10	3	7	2	TRUE	ae	hez	front	C
azbesztnek	azbeszt	[/N][Dat]	127	8570080167	9640	-0.829181163502001	1.051092149444873	10	3	7	2	TRUE	ae	nek	front	C
azbesztről	azbeszt	[/N][Del]	76	8570080167	9640	-1.0521712921771664	1.051092149444873	10	3	7	2	TRUE	ae	ről	front	C
azbesztból	azbeszt	[/N][Ela]	1	8570080167	9640	-2.932984884457958	1.051092149444873	10	3	7	2	TRUE	ae	ból	back	C
azbesztből	azbeszt	[/N][Ela]	197	8570080167	9640	-0.6385186582963649	1.051092149444873	10	3	7	2	TRUE	ae	ből	front	C
azbesztbe	azbeszt	[/N][Ill]	4	8570080167	9640	-2.3309248931299953	1.051092149444873	9	3	7	2	TRUE	ae	be	front	C
azbesztben	azbeszt	[/N][Ine]	5	8570080167	9640	-2.234014880121939	1.051092149444873	10	3	7	2	TRUE	ae	ben	front	C
azbeszttal	azbeszt	[/N][Ins]	6	8570080167	9640	-2.1548336340743144	1.051092149444873	10	3	7	2	TRUE	ae	val	back	C
azbeszttel	azbeszt	[/N][Ins]	880	8570080167	9640	0.01149778769221076	1.051092149444873	10	3	7	2	TRUE	ae	vel	front	C
azbesztek	azbeszt	[/N][Pl][Nom]	18	8570080167	9640	-1.6777123793546518	1.051092149444873	9	3	7	2	TRUE	ae	ek	front	V
azbesztem	azbeszt	[/N][Poss.1Sg][Nom]	1	8570080167	9640	-2.932984884457958	1.051092149444873	9	3	7	2	TRUE	ae	em	front	V
azbesztje	azbeszt	[/N][Poss.3Sg][Nom]	7	8570080167	9640	-2.087886844443701	1.051092149444873	9	3	7	2	TRUE	ae	je	front	C
azbesztre	azbeszt	[/N][Subl]	67	8570080167	9640	-1.1069100817571311	1.051092149444873	9	3	7	2	TRUE	ae	re	front	C
azbeszten	azbeszt	[/N][Supe]	21	8570080167	9640	-1.6107655897240385	1.051092149444873	9	3	7	2	TRUE	ae	en	front	V
bagettől	bagett	[/N][Abl]	13	8570080167	8695	-1.819041532151121	1.0062847018807737	8	3	6	2	FALSE	ae	től	front	C
bagettot	bagett	[/N][Acc]	9	8570080167	8695	-1.978742375018633	1.0062847018807737	8	3	6	2	FALSE	ae	ot	back	V
bagettet	bagett	[/N][Acc]	1981	8570080167	8695	0.3638995910805892	1.0062847018807737	8	3	6	2	FALSE	ae	et	front	V
bagettnél	bagett	[/N][Ade]	27	8570080167	8695	-1.5016211202989704	1.0062847018807737	9	3	6	2	FALSE	ae	nél	front	C
bagetthez	bagett	[/N][All]	109	8570080167	8695	-0.8955583865173342	1.0062847018807737	9	3	6	2	FALSE	ae	hez	front	C
bagettnek	bagett	[/N][Dat]	86	8570080167	8695	-0.99848643321439	1.0062847018807737	9	3	6	2	FALSE	ae	nek	front	C
bagettről	bagett	[/N][Del]	12	8570080167	8695	-1.853803638410333	1.0062847018807737	9	3	6	2	FALSE	ae	ről	front	C
bagettból	bagett	[/N][Ela]	4	8570080167	8695	-2.3309248931299953	1.0062847018807737	9	3	6	2	FALSE	ae	ból	back	C
bagettből	bagett	[/N][Ela]	108	8570080167	8695	-0.8995611289710082	1.0062847018807737	9	3	6	2	FALSE	ae	ből	front	C
bagettba	bagett	[/N][Ill]	6	8570080167	8695	-2.1548336340743144	1.0062847018807737	8	3	6	2	FALSE	ae	ba	back	C
bagettbe	bagett	[/N][Ill]	86	8570080167	8695	-0.99848643321439	1.0062847018807737	8	3	6	2	FALSE	ae	be	front	C
bagettban	bagett	[/N][Ine]	2	8570080167	8695	-2.6319548887939765	1.0062847018807737	9	3	6	2	FALSE	ae	ban	back	C
bagettben	bagett	[/N][Ine]	90	8570080167	8695	-0.9787423750186328	1.0062847018807737	9	3	6	2	FALSE	ae	ben	front	C
