xpostag	example	example2
[/N][Abl]	[Abl] (óra / órától)	óra / órától
[/N][Acc]	[Acc] (rész / részt)	rész / részt
[/N][Ade]	[Ade] (cég / cégnél)	cég / cégnél
[/N][All]	[All] (ház / házhoz)	ház / házhoz
[/N][AnP][Nom]	[AnP][Nom] (ok / oké)	ok / oké
[/N][Cau]	[Cau] (forint / forintért)	forint / forintért
[/N][Dat]	[Dat] (ember / embernek)	ember / embernek
[/N][Del]	[Del] (oldal / oldalról)	oldal / oldalról
[/N][Ela]	[Ela] (szempont / szempontból)	szempont / szempontból
[/N][EssFor:ként]	[EssFor:ként] (példa / példaként)	példa / példaként
[/N][Ill]	[Ill] (figyelem / figyelembe)	figyelem / figyelembe
[/N][Ine]	[Ine] (eset / esetben)	eset / esetben
[/N][Ins]	[Ins] (alkalom / alkalommal)	alkalom / alkalommal
[/N][Pl.Poss.1Pl][Nom]	[Pl.Poss.1Pl][Nom] (olvasó / olvasóink)	olvasó / olvasóink
[/N][Pl.Poss.1Sg][Nom]	[Pl.Poss.1Sg][Nom] (szülő / szüleim)	szülő / szüleim
[/N][Pl.Poss.3Pl][Nom]	[Pl.Poss.3Pl][Nom] (szülő / szüleik)	szülő / szüleik
[/N][Pl.Poss.3Sg][Nom]	[Pl.Poss.3Sg][Nom] (megy / megyei)	megy / megyei
[/N][Pl][Nom]	[Pl][Nom] (adat / adatok)	adat / adatok
[/N][Poss.1Pl][Nom]	[Poss.1Pl][Nom] (cél / célunk)	cél / célunk
[/N][Poss.1Sg][Nom]	[Poss.1Sg][Nom] (vélemény / véleményem)	vélemény / véleményem
[/N][Poss.2Pl][Nom]	[Poss.2Pl][Nom] (szükség / szükségetek)	szükség / szükségetek
[/N][Poss.2Sg][Nom]	[Poss.2Sg][Nom] (szükség / szükséged)	szükség / szükséged
[/N][Poss.3Pl][Nom]	[Poss.3Pl][Nom] (szükség / szükségük)	szükség / szükségük
[/N][Poss.3Sg][Nom]	[Poss.3Sg][Nom] (év / éve)	év / éve
[/N][Subl]	[Subl] (rendelkezés / rendelkezésre)	rendelkezés / rendelkezésre
[/N][Supe]	[Supe] (mód / módon)	mód / módon
[/N][Temp]	[Temp] (óra / órakor)	óra / órakor
[/N][Ter]	[Ter] (idő / ideig)	idő / ideig
[/N][Transl]	[Transl] (ember / emberré)	ember / emberré
[/N][_Distr:nként/Adv]	[_Distr:nként/Adv] (eset / esetenként)	eset / esetenként
